,Date,Unnamed: 0,resting_hr,avg_hr,max_hr,min_hr,zone_Below_minutes,zone_Fat Burn_minutes,zone_Cardio_minutes,zone_Peak_minutes
0,2016-03-29,5,53.0,71.3,135.0,53.0,1317.5,76.1,6.7,0.0
1,2016-03-30,6,51.0,72.8,161.0,51.0,1270.3,127.2,24.7,2.3
2,2016-03-31,7,51.0,70.7,125.0,51.0,1334.5,58.6,3.9,0.0
3,2016-04-01,8,53.0,69.2,104.0,53.0,1263.8,43.0,0.0,0.0
4,2016-04-02,0,57.0,65.8,80.0,57.0,90.6,0.0,0.0,0.0
5,2016-04-03,10,54.0,75.3,129.0,54.0,1225.6,118.2,8.7,0.0
6,2016-04-04,11,54.0,75.5,140.0,54.0,1241.6,96.7,35.6,0.1
7,2016-04-05,12,54.0,75.7,182.0,54.0,1336.6,84.2,12.9,6.1
8,2016-04-06,13,51.0,74.5,152.0,51.0,1231.2,82.2,10.1,2.9
9,2016-04-07,14,53.0,87.0,165.0,53.0,639.2,297.5,56.7,4.8
10,2016-04-08,15,55.0,75.9,157.0,55.0,1270.8,85.5,11.5,1.6
11,2016-04-09,16,59.0,86.6,138.0,59.0,672.2,265.3,29.7,0.0
12,2016-04-10,17,58.0,80.3,160.0,58.0,1145.9,212.8,26.7,5.2
13,2016-04-11,18,54.0,72.8,138.0,54.0,1215.5,70.7,19.9,0.0
14,2016-04-12,19,57.0,86.1,172.0,57.0,699.4,214.7,79.8,7.0
15,2016-04-13,20,55.0,73.8,158.0,55.0,1326.3,78.4,18.0,3.9
16,2016-04-14,21,52.0,72.6,154.0,52.0,1325.5,79.1,4.2,0.2
17,2016-04-15,22,55.0,75.7,136.0,55.0,1212.0,138.9,12.3,0.0
18,2016-04-16,23,58.0,96.6,168.0,58.0,474.4,224.7,53.4,20.6
19,2016-04-17,1,63.0,68.7,80.0,63.0,39.3,0.0,0.0,0.0
20,2016-04-18,25,53.0,71.2,134.0,53.0,1354.0,64.1,21.7,0.0
21,2016-04-19,26,53.0,81.3,195.0,53.0,883.3,280.9,93.0,2.4
22,2016-04-20,27,53.0,78.2,161.0,53.0,862.4,111.0,38.2,3.3
23,2016-04-21,28,51.0,73.4,171.0,51.0,1341.1,63.4,18.3,4.8
24,2016-04-22,29,53.0,72.0,165.0,53.0,1365.3,52.5,7.0,4.4
25,2016-04-23,30,53.0,83.4,157.0,53.0,984.4,275.3,52.3,19.9
26,2016-04-24,31,54.0,77.6,127.0,54.0,1143.3,194.9,16.3,0.0
27,2016-04-25,2,70.0,99.5,125.0,70.0,6.0,77.7,8.9,0.0
28,2016-04-26,33,49.0,71.7,122.0,49.0,1337.4,59.4,1.7,0.0
29,2016-04-27,34,51.0,75.2,144.0,51.0,1201.8,84.3,28.9,1.5
30,2016-04-28,35,55.0,73.4,138.0,55.0,1305.3,53.3,4.5,0.0
31,2016-04-29,36,54.0,62.9,85.0,54.0,416.8,0.0,0.0,0.0
32,2016-04-30,66,53.0,79.2,134.0,53.0,982.0,139.6,4.7,0.0
33,2016-05-01,67,53.0,70.8,127.0,53.0,777.0,19.1,1.5,0.0
34,2016-05-02,3,70.0,84.1,122.0,70.0,70.8,15.5,1.2,0.0
35,2016-05-03,69,52.0,82.5,148.0,52.0,843.8,54.8,30.8,1.4
36,2016-05-04,70,54.0,76.8,127.0,54.0,755.8,56.3,1.8,0.0
37,2016-05-05,71,48.0,81.9,130.0,48.0,727.2,222.8,7.4,0.0
38,2016-05-06,72,51.0,71.9,110.0,51.0,782.1,19.1,0.6,0.0
39,2016-05-07,73,54.0,76.2,116.0,54.0,707.7,79.3,1.7,0.0
40,2016-05-08,74,45.0,104.9,199.0,45.0,154.1,262.1,110.6,36.7
41,2016-05-09,4,70.0,98.2,123.0,70.0,47.6,137.5,25.4,0.0
42,2016-05-10,76,50.0,75.8,147.0,50.0,790.7,58.0,7.2,0.5
43,2016-05-11,77,44.0,74.9,138.0,44.0,864.3,90.2,6.1,0.0
44,2016-05-12,78,54.0,79.7,117.0,54.0,456.4,58.3,5.3,0.0
